contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
fast_kruskal, GNM, 2, 65536, 65536, 40, 4318330, yes
fast_kruskal, GNM, 3, 65536, 65536, 40, 4286080, yes
i_max_filter, GNM, 0, 65536, 65536, 30, 6316703, yes
i_max_filter, GNM, 1, 65536, 65536, 30, 6382034, yes
i_max_filter, GNM, 2, 65536, 65536, 30, 6370994, yes
i_max_filter, GNM, 3, 65536, 65536, 40, 6431175, yes
parallel_i_max_filter, GNM, 0, 65536, 65536, 40, 6431155, yes
parallel_i_max_filter, GNM, 1, 65536, 65536, 40, 6363483, yes
parallel_i_max_filter, GNM, 2, 65536, 65536, 40, 6379985, yes
parallel_i_max_filter, GNM, 3, 65536, 65536, 30, 6334183, yes
jarnik_prim, GNM, 0, 65536, 65536, 30, 6347315, yes
jarnik_prim, GNM, 1, 65536, 65536, 40, 6344164, yes
jarnik_prim, GNM, 2, 65536, 65536, 40, 6327124, yes
jarnik_prim, GNM, 3, 65536, 65536, 40, 6355494, yes
fast_kruskal, GNM, 0, 65536, 131072, 30, 9689782, yes
fast_kruskal, GNM, 1, 65536, 131072, 40, 8797032, yes
fast_kruskal, GNM, 2, 65536, 131072, 40, 8795102, yes
fast_kruskal, GNM, 3, 65536, 131072, 40, 8805693, yes
i_max_filter, GNM, 0, 65536, 131072, 30, 10696275, yes
i_max_filter, GNM, 1, 65536, 131072, 40, 10464943, yes
i_max_filter, GNM, 2, 65536, 131072, 40, 10443551, yes
i_max_filter, GNM, 3, 65536, 131072, 40, 10455552, yes
parallel_i_max_filter, GNM, 0, 65536, 131072, 40, 10396240, yes
parallel_i_max_filter, GNM, 1, 65536, 131072, 40, 10592053, yes
parallel_i_max_filter, GNM, 2, 65536, 131072, 30, 10435121, yes
parallel_i_max_filter, GNM, 3, 65536, 131072, 40, 10389962, yes
jarnik_prim, GNM, 0, 65536, 131072, 40, 10439353, yes
jarnik_prim, GNM, 1, 65536, 131072, 40, 10462781, yes
jarnik_prim, GNM, 2, 65536, 131072, 40, 10574512, yes
jarnik_prim, GNM, 3, 65536, 131072, 40, 10501592, yes
fast_kruskal, GNM, 0, 65536, 262144, 30, 18567865, yes
fast_kruskal, GNM, 1, 65536, 262144, 30, 17412981, yes
fast_kruskal, GNM, 2, 65536, 262144, 30, 17493243, yes
fast_kruskal, GNM, 3, 65536, 262144, 30, 17416012, yes
i_max_filter, GNM, 0, 65536, 262144, 30, 14748082, yes
i_max_filter, GNM, 1, 65536, 262144, 30, 14912025, yes
i_max_filter, GNM, 2, 65536, 262144, 30, 14852264, yes
i_max_filter, GNM, 3, 65536, 262144, 30, 14850583, yes
